State,Crop,Year,Season,Area (ha),Production (tonnes),Yield (tonnes/ha),Fertilizer Used,Irrigation Type,Soil Type,Pesticide Used,Temperature (°C),Rainfall (mm),Labor Count,District,Market Price (Rs/quintal),Government Support
Haryana,Rice,2019,Rabi,43486.54,184370.83,4.24,None,Drip,Sandy,No,39.2,707.1,80,Amritsar,2338.97,Yes
Haryana,Wheat,2020,Kharif,10519.42,18017.9,1.71,Urea,Canal,Sandy,Yes,27.7,410.8,29,Amritsar,3037.16,Yes
Maharashtra,Sugarcane,2019,Zaid,2353.22,7616.42,3.24,MOP,Drip,Clay,Yes,26.8,928.1,71,Bangalore,3129.39,No
Karnataka,Maize,2017,Rabi,27589.59,65101.05,2.36,None,Canal,Red,No,37.5,959.3,94,Ludhiana,2070.67,No
Haryana,Rice,2017,Rabi,41307.43,106596.79,2.58,Urea,Rainfed,Red,No,31.3,130.6,8,Amritsar,4646.39,Yes
Bihar,Cotton,2017,Kharif,14305.6,62883.92,4.4,DAP,Rainfed,Black,Yes,30.3,322.4,83,Chennai,2473.05,Yes
Tamil Nadu,Sugarcane,2021,Rabi,27491.12,93807.67,3.41,None,Sprinkler,Sandy,Yes,34.5,451.4,97,Lucknow,1182.2,No
Bihar,Cotton,2018,Rabi,16824.87,65374.02,3.89,None,Rainfed,Black,Yes,31.6,315.8,78,Chennai,2200.91,Yes
Tamil Nadu,Maize,2020,Rabi,4844.36,7634.96,1.58,Urea,Sprinkler,Sandy,Yes,23.3,748.9,89,Bangalore,3124.44,Yes
West Bengal,Wheat,2020,Kharif,3851.49,16352.04,4.25,MOP,Drip,Clay,No,33.5,1932.8,20,Patna,2632.89,No
Tamil Nadu,Rice,2017,Kharif,14716.76,64232.71,4.36,DAP,Rainfed,Red,No,22.7,1067.5,23,Chennai,2095.37,Yes
Tamil Nadu,Cotton,2021,Zaid,3338.09,10675.58,3.2,None,Drip,Red,Yes,36.1,1292.4,33,Ludhiana,1525.29,Yes
Uttar Pradesh,Cotton,2017,Kharif,6687.56,10954.28,1.64,MOP,Canal,Clay,Yes,39.8,777.1,55,Kolkata,4276.66,Yes
Punjab,Sugarcane,2021,Rabi,38404.86,150575.43,3.92,DAP,Drip,Black,Yes,27.5,714.6,22,Lucknow,4984.58,Yes
Bihar,Wheat,2021,Zaid,3354.89,14585.17,4.35,Compost,Canal,Black,Yes,28.9,144,62,Mumbai,2318.17,Yes
Bihar,Rice,2020,Zaid,1749.92,7525.2,4.3,Compost,Drip,Loamy,No,20.9,1050.6,48,Lucknow,2526.48,No
Karnataka,Wheat,2021,Kharif,8983.79,15377.61,1.71,DAP,Drip,Sandy,Yes,20.3,1018.9,20,Chennai,3472.15,Yes
Tamil Nadu,Rice,2017,Zaid,40246.52,142130.79,3.53,Urea,Rainfed,Black,Yes,38.4,399.9,69,Mumbai,3873.77,No
Uttar Pradesh,Sugarcane,2017,Kharif,40749,161444.21,3.96,DAP,Drip,Clay,Yes,22.6,1552.2,6,Bangalore,2568.12,No
Bihar,Maize,2017,Kharif,32922.75,69797.98,2.12,DAP,Rainfed,Black,No,28.9,1036.1,60,Ludhiana,4619.72,Yes
West Bengal,Cotton,2020,Zaid,19485.7,31506.22,1.62,Urea,Rainfed,Red,No,36.3,744.1,83,Lucknow,3240.02,No
Haryana,Maize,2017,Rabi,16629.81,67095.06,4.03,Urea,Sprinkler,Sandy,No,37.8,379.1,32,Patna,2801.56,Yes
Haryana,Rice,2019,Kharif,25305.84,90561.28,3.58,MOP,Sprinkler,Loamy,Yes,30.4,1149.1,69,Mumbai,3586.69,No
Haryana,Cotton,2019,Kharif,2920.13,8041.57,2.75,MOP,Canal,Sandy,Yes,31.3,1530.4,9,Mumbai,4811.22,No
West Bengal,Wheat,2020,Rabi,21750.08,69721.2,3.21,Urea,Drip,Red,Yes,33.4,635.8,26,Lucknow,4178.21,No
Uttar Pradesh,Wheat,2019,Rabi,13250.81,42954.25,3.24,Compost,Canal,Red,No,39.2,515.7,17,Chennai,1160.05,Yes
Tamil Nadu,Cotton,2020,Kharif,34312.39,127632.7,3.72,Compost,Drip,Red,No,32.1,1091.7,69,Mumbai,2329.24,No
Uttar Pradesh,Wheat,2017,Kharif,25757.37,102498.17,3.98,DAP,Sprinkler,Red,Yes,31.2,395.2,20,Bangalore,2882.18,No
Maharashtra,Cotton,2019,Zaid,20070.88,30758.88,1.53,None,Sprinkler,Clay,Yes,20.3,1366.6,90,Lucknow,2258.07,No
Punjab,Maize,2020,Kharif,16646.37,72414.8,4.35,DAP,Drip,Loamy,No,21.6,1250.2,68,Bangalore,3800.75,Yes
Karnataka,Sugarcane,2019,Rabi,31960.02,90937.01,2.85,DAP,Drip,Red,Yes,31.5,265.5,36,Lucknow,4305.08,Yes
Uttar Pradesh,Sugarcane,2017,Zaid,11423.67,49562.55,4.34,None,Sprinkler,Red,Yes,38.7,169.4,84,Bangalore,3925.38,No
Karnataka,Wheat,2021,Kharif,25226.59,42195.92,1.67,Urea,Sprinkler,Black,Yes,37.3,1278.5,55,Chennai,4957.33,No
Tamil Nadu,Rice,2021,Zaid,44497.5,113590.77,2.55,Compost,Canal,Loamy,No,39.7,659.2,83,Lucknow,2090.19,No
Haryana,Sugarcane,2017,Rabi,42011.23,172271.51,4.1,DAP,Sprinkler,Sandy,Yes,30.6,264.2,62,Ludhiana,4499.96,No
Maharashtra,Cotton,2018,Kharif,41271.14,149348.98,3.62,None,Drip,Loamy,Yes,35.8,1542.9,50,Kolkata,4066.49,Yes
West Bengal,Cotton,2021,Rabi,49345.34,129423.57,2.62,MOP,Canal,Loamy,Yes,36.8,696.7,56,Patna,2448.72,Yes
Punjab,Sugarcane,2017,Zaid,45476.99,148967.44,3.28,DAP,Drip,Loamy,Yes,33,973.2,67,Chennai,3936.5,Yes
Bihar,Sugarcane,2019,Kharif,19521.39,70574.77,3.62,Compost,Rainfed,Red,No,26.8,549.9,80,Bangalore,1416.3,No
Haryana,Rice,2019,Zaid,22288.14,50394.52,2.26,Urea,Canal,Red,No,29.4,1291.9,64,Ludhiana,4157.33,Yes
Haryana,Sugarcane,2018,Kharif,41316.73,154220.27,3.73,DAP,Drip,Clay,No,37.2,672.8,69,Lucknow,3129.32,No
Uttar Pradesh,Cotton,2020,Rabi,20610.92,60454.81,2.93,DAP,Sprinkler,Sandy,Yes,26,1939.2,85,Chennai,2169.16,No
Punjab,Wheat,2021,Rabi,40303.35,178693.04,4.43,None,Rainfed,Black,No,38.5,1435.6,59,Bangalore,3623.11,No
West Bengal,Cotton,2021,Rabi,46307.52,197147.19,4.26,MOP,Drip,Loamy,Yes,24.6,359.8,61,Amritsar,3566.48,Yes
Bihar,Maize,2019,Kharif,26631.79,90233.72,3.39,MOP,Canal,Sandy,No,35,891.7,96,Amritsar,1837.94,No
Maharashtra,Wheat,2021,Rabi,29631.4,124554.82,4.2,Urea,Drip,Sandy,Yes,32.6,832.3,75,Mumbai,1121.59,Yes
Punjab,Maize,2020,Rabi,47570.16,198405.21,4.17,Compost,Rainfed,Clay,No,35,1115.1,77,Patna,2734.49,No
Bihar,Sugarcane,2021,Rabi,10217.94,29541.04,2.89,Urea,Canal,Black,No,28.7,1699.7,90,Amritsar,3278.05,Yes
Haryana,Sugarcane,2018,Kharif,48745.35,217337.59,4.46,DAP,Rainfed,Loamy,No,38.7,1208.5,30,Kolkata,4506.42,No
Maharashtra,Wheat,2017,Kharif,21149.13,69968.63,3.31,DAP,Drip,Black,Yes,32.6,217,16,Bangalore,4712.87,Yes
Karnataka,Cotton,2021,Rabi,4733.82,20457.66,4.32,MOP,Sprinkler,Clay,Yes,25.8,1345.3,75,Chennai,3115.22,No
Uttar Pradesh,Cotton,2017,Rabi,5054.67,20875.71,4.13,Compost,Sprinkler,Red,Yes,32.8,115.7,50,Lucknow,4015.21,Yes
Uttar Pradesh,Cotton,2021,Zaid,21151.5,81069.61,3.83,None,Drip,Sandy,No,25.7,1581.9,51,Chennai,2757.21,No
Haryana,Wheat,2019,Kharif,37729.34,101075.71,2.68,Compost,Drip,Loamy,Yes,25.9,1366.6,83,Mumbai,3984.33,No
Uttar Pradesh,Maize,2017,Kharif,4112.08,6622.36,1.61,DAP,Drip,Red,Yes,28,686.7,42,Ludhiana,1819.21,No
Tamil Nadu,Wheat,2021,Zaid,43371.4,170827.06,3.94,None,Canal,Clay,Yes,37,655.6,25,Chennai,2484.26,Yes
Tamil Nadu,Cotton,2019,Kharif,29672.33,109145.59,3.68,Compost,Rainfed,Black,Yes,30,1616.7,18,Amritsar,3536.91,No
Haryana,Rice,2019,Kharif,12813.16,27101.58,2.12,Compost,Rainfed,Sandy,Yes,33.6,1588.3,6,Chennai,1072.63,No
Punjab,Maize,2021,Kharif,11154.15,46118.64,4.13,None,Rainfed,Loamy,Yes,27.8,769.4,76,Amritsar,3889.85,No
Karnataka,Rice,2020,Zaid,6564.32,23071.74,3.51,DAP,Drip,Red,No,25.3,668,74,Amritsar,4342.14,Yes
Haryana,Maize,2019,Rabi,42756.89,134928.79,3.16,Compost,Rainfed,Red,No,39.1,1163.7,37,Patna,2596.57,No
West Bengal,Maize,2017,Kharif,7566.75,12003.5,1.59,None,Drip,Sandy,Yes,32.1,115.9,10,Mumbai,2791.77,No
Tamil Nadu,Cotton,2021,Rabi,35499.91,75930.49,2.14,DAP,Canal,Black,No,38.7,257.1,94,Kolkata,4405.13,Yes
Maharashtra,Sugarcane,2018,Rabi,30796.3,105013.32,3.41,None,Sprinkler,Clay,No,24.1,339.7,41,Kolkata,4102.62,No
Tamil Nadu,Maize,2019,Zaid,36593.45,114989.02,3.14,None,Drip,Black,Yes,22.9,452.3,18,Bangalore,2152.6,Yes
Punjab,Sugarcane,2018,Zaid,35184.45,136846.94,3.89,Compost,Drip,Black,Yes,37.1,1072.8,41,Kolkata,2295.9,No
Haryana,Wheat,2018,Kharif,13653.98,39288.06,2.88,DAP,Sprinkler,Black,No,33.6,1985.3,12,Amritsar,3715.51,Yes
Haryana,Cotton,2018,Kharif,11247.41,36429.8,3.24,Compost,Sprinkler,Sandy,Yes,23.7,1340,81,Lucknow,3252.79,Yes
Uttar Pradesh,Maize,2017,Zaid,7274.25,14226.31,1.96,Urea,Canal,Sandy,No,25.4,216.5,17,Mumbai,1648.92,Yes
Maharashtra,Sugarcane,2020,Kharif,44942.63,131317.19,2.92,Urea,Rainfed,Clay,No,36,1098.6,44,Bangalore,2239.72,No
West Bengal,Rice,2021,Rabi,11968.6,47459.95,3.97,DAP,Drip,Black,No,29.1,1043.6,96,Kolkata,4599.93,No
Haryana,Sugarcane,2018,Kharif,2558.43,8049.19,3.15,None,Rainfed,Sandy,Yes,33.4,373.9,62,Kolkata,3752.7,Yes
West Bengal,Wheat,2020,Rabi,44816.65,84535.19,1.89,Compost,Drip,Clay,No,26.4,1848.5,22,Lucknow,4943.9,No
Haryana,Cotton,2019,Kharif,5522.24,16254.36,2.94,Compost,Canal,Clay,Yes,27.6,937.5,61,Chennai,4068.05,No
Maharashtra,Maize,2021,Kharif,14567,57082.3,3.92,DAP,Sprinkler,Black,Yes,39.8,1989.7,87,Mumbai,4767.9,Yes
Punjab,Maize,2021,Zaid,27292.94,116598.86,4.27,DAP,Canal,Loamy,Yes,25,898.1,42,Lucknow,1864.75,Yes
Maharashtra,Rice,2020,Zaid,27032.02,98979.04,3.66,Urea,Sprinkler,Black,Yes,30.1,1255.1,36,Kolkata,4085.94,Yes
Haryana,Maize,2019,Zaid,34671.11,139839.75,4.03,MOP,Rainfed,Loamy,Yes,36.9,299,90,Mumbai,1080.87,Yes
Uttar Pradesh,Sugarcane,2021,Rabi,22923.21,71012.71,3.1,DAP,Rainfed,Clay,No,24.8,963,70,Mumbai,3683.04,No
Tamil Nadu,Wheat,2021,Rabi,28634.29,115170.84,4.02,MOP,Canal,Sandy,Yes,28.3,553.7,81,Kolkata,2877.13,No
Maharashtra,Rice,2020,Kharif,44635.84,146440.25,3.28,DAP,Sprinkler,Red,Yes,32.3,1687.6,91,Chennai,2387.04,No
Bihar,Rice,2019,Kharif,25423.67,44765,1.76,None,Canal,Clay,Yes,29.6,1589.4,29,Chennai,4449.62,No
Tamil Nadu,Rice,2017,Zaid,19559.86,49141.03,2.51,None,Sprinkler,Sandy,Yes,29.2,1665.9,96,Kolkata,4417.07,No
Bihar,Rice,2018,Zaid,18448.74,82273,4.46,Urea,Sprinkler,Clay,Yes,27.3,1474.9,62,Mumbai,1089.21,No
West Bengal,Wheat,2017,Kharif,5987.34,11726.67,1.96,Urea,Rainfed,Black,No,31.7,1682.1,79,Lucknow,3438.02,Yes
Tamil Nadu,Sugarcane,2019,Rabi,14969.66,30240.52,2.02,MOP,Rainfed,Loamy,Yes,32.5,481.6,37,Patna,2471.33,No
Tamil Nadu,Wheat,2019,Zaid,1893.88,6800.7,3.59,DAP,Sprinkler,Clay,Yes,33.1,958.9,92,Amritsar,2662.64,No
Karnataka,Rice,2020,Zaid,43409.85,171521.7,3.95,Compost,Sprinkler,Sandy,No,21.4,1414.5,70,Chennai,4328.16,No
Punjab,Maize,2017,Rabi,28281.38,90920.06,3.21,Urea,Sprinkler,Black,Yes,32.6,1311,34,Kolkata,2239.36,Yes
Uttar Pradesh,Cotton,2020,Kharif,10165.14,25118.44,2.47,Compost,Rainfed,Red,No,39.1,1461.1,85,Ludhiana,4772.2,Yes
Uttar Pradesh,Sugarcane,2017,Kharif,26962.16,97648.59,3.62,Compost,Rainfed,Black,No,30.8,526.1,38,Patna,1718.54,No
Maharashtra,Cotton,2019,Zaid,24575.86,76130.32,3.1,DAP,Drip,Loamy,No,34.3,287,90,Chennai,3650.89,Yes
Punjab,Rice,2018,Kharif,4105.37,18350.51,4.47,MOP,Sprinkler,Black,No,31.1,1841.9,73,Ludhiana,3688.42,Yes
West Bengal,Rice,2020,Kharif,7802.41,11767.07,1.51,DAP,Drip,Red,Yes,37.1,1164.3,52,Mumbai,2008.78,No
Punjab,Maize,2019,Rabi,6228.26,25238.05,4.05,Urea,Sprinkler,Sandy,Yes,38.6,392.3,44,Kolkata,2299,No
Bihar,Sugarcane,2018,Rabi,46713.97,208941.7,4.47,Compost,Rainfed,Clay,No,23.7,1607.5,55,Patna,4339.19,No
Haryana,Sugarcane,2019,Zaid,46396.02,170031.65,3.66,DAP,Drip,Loamy,No,28.7,1838.4,84,Kolkata,4047.22,Yes
Bihar,Cotton,2019,Kharif,37774.59,147268.45,3.9,DAP,Drip,Red,Yes,27.8,422.2,17,Lucknow,2316.38,Yes
Uttar Pradesh,Cotton,2021,Kharif,12548.9,42682.27,3.4,DAP,Canal,Loamy,No,28.1,1653.1,94,Lucknow,3135.83,No
Maharashtra,Sugarcane,2017,Kharif,29827.03,105854.52,3.55,Urea,Sprinkler,Black,No,22.5,1873.1,35,Bangalore,1246.72,Yes
Karnataka,Maize,2021,Rabi,27449.27,77303.57,2.82,MOP,Rainfed,Loamy,No,36.3,1882.9,43,Amritsar,1834.98,Yes
Punjab,Wheat,2017,Kharif,20182.62,62476.76,3.1,DAP,Canal,Red,Yes,20.7,1836.9,67,Amritsar,2943.28,Yes
West Bengal,Maize,2019,Rabi,47051.77,159181.98,3.38,Urea,Canal,Clay,No,30.6,1138.2,52,Chennai,1343.89,No
Karnataka,Rice,2020,Zaid,44052.83,131553.68,2.99,Compost,Sprinkler,Clay,Yes,33.2,776.8,91,Amritsar,4373.33,No
Maharashtra,Maize,2020,Kharif,8432.07,20533.49,2.44,None,Canal,Loamy,Yes,24.1,113.8,52,Kolkata,3872.02,No
West Bengal,Maize,2017,Rabi,11022.69,40146.76,3.64,Urea,Sprinkler,Sandy,Yes,38.1,215.7,65,Kolkata,4774.53,No
West Bengal,Maize,2018,Kharif,6042.89,18790.03,3.11,None,Canal,Loamy,No,36.8,914.8,16,Bangalore,3773.87,No
Tamil Nadu,Sugarcane,2021,Zaid,40067.47,78121.64,1.95,DAP,Sprinkler,Black,No,29.4,858.7,82,Ludhiana,4761.61,Yes
Tamil Nadu,Sugarcane,2020,Kharif,36281.79,124208.64,3.42,DAP,Rainfed,Clay,Yes,28.2,451,60,Lucknow,3218.05,Yes
Uttar Pradesh,Sugarcane,2020,Rabi,13338.15,33840.06,2.54,Urea,Sprinkler,Clay,Yes,24.7,851.4,22,Ludhiana,3400.87,Yes
Uttar Pradesh,Rice,2018,Rabi,31132.56,131863.74,4.24,None,Sprinkler,Clay,Yes,34.6,431.8,31,Ludhiana,4907.88,Yes
Karnataka,Rice,2017,Kharif,1887.4,7769.24,4.12,DAP,Drip,Sandy,No,22.6,1712.7,32,Patna,3568.52,Yes
Bihar,Sugarcane,2020,Kharif,46202.47,167332.22,3.62,Compost,Rainfed,Sandy,No,33.6,666.6,86,Patna,1123.15,Yes
Haryana,Wheat,2020,Zaid,30729.04,85192.95,2.77,MOP,Rainfed,Red,Yes,36.8,1237.3,84,Lucknow,3895.21,No
West Bengal,Wheat,2019,Zaid,7017.73,15493.17,2.21,MOP,Rainfed,Loamy,Yes,24.6,1055.4,56,Mumbai,4621.87,No
Haryana,Sugarcane,2017,Kharif,43624.92,133340.19,3.06,DAP,Canal,Loamy,No,37.3,198.6,20,Lucknow,4182.32,Yes
Karnataka,Cotton,2017,Kharif,17424.66,68105.34,3.91,None,Drip,Black,Yes,20.7,1890.2,81,Patna,3335.33,No
West Bengal,Rice,2017,Zaid,20510.27,63831.79,3.11,DAP,Rainfed,Clay,No,38.3,1101.7,62,Ludhiana,3685.21,Yes
Uttar Pradesh,Rice,2018,Zaid,37137.56,106089.15,2.86,None,Canal,Sandy,No,22.4,717.6,97,Chennai,4960.77,Yes
Uttar Pradesh,Maize,2020,Zaid,7901.99,16034.41,2.03,Compost,Canal,Black,Yes,32.9,400.4,13,Bangalore,1362.65,No
Tamil Nadu,Sugarcane,2021,Kharif,18757.3,60806.76,3.24,None,Canal,Black,Yes,25,743.2,30,Ludhiana,3668.98,No
Maharashtra,Rice,2020,Rabi,33513.33,68169.73,2.03,DAP,Drip,Sandy,No,36.7,139,32,Lucknow,2133.59,Yes
Bihar,Wheat,2017,Rabi,43170.97,134054.89,3.11,Compost,Canal,Loamy,No,30.2,790.8,81,Mumbai,3560.36,No
Karnataka,Wheat,2017,Kharif,20468.59,56910.19,2.78,Urea,Drip,Clay,No,22.7,1109.8,40,Ludhiana,3430.49,Yes
Karnataka,Maize,2021,Kharif,2790.93,8138.91,2.92,MOP,Sprinkler,Loamy,No,31.4,1756.5,13,Chennai,1613.83,Yes
Karnataka,Maize,2018,Kharif,39000.85,111537.22,2.86,DAP,Canal,Black,No,28.2,1406,51,Lucknow,1826.99,Yes
Haryana,Sugarcane,2017,Rabi,25353.59,96243.97,3.8,DAP,Rainfed,Clay,Yes,33.2,312,82,Chennai,3486.52,Yes
Bihar,Wheat,2021,Zaid,47359.66,124078.9,2.62,DAP,Canal,Red,No,37.6,380.7,55,Ludhiana,1512.92,Yes
Haryana,Maize,2018,Kharif,2243.93,4417.08,1.97,Compost,Sprinkler,Black,No,28.2,913.4,80,Lucknow,2060.72,No
Haryana,Cotton,2017,Kharif,11876.64,26048.14,2.19,Urea,Sprinkler,Loamy,No,25.8,471.8,61,Chennai,4340.98,Yes
Uttar Pradesh,Cotton,2017,Zaid,28902.73,120304.19,4.16,None,Canal,Loamy,Yes,20.3,152.9,36,Kolkata,2308.37,No
Bihar,Rice,2019,Rabi,30556.67,119798.97,3.92,Urea,Sprinkler,Loamy,Yes,31.5,1629.5,71,Amritsar,2952.24,Yes
